Family,Genus,Species,Common,Common,Common,Body Mass (kg),FMR KJ/day),Method,Source1,Source2,,,,
 Mustelidae,Enhydra,lutris,Sea,otter,,17.3,1406.1,water,Y,Y,Y,Y,49,
 Mustelidae,Enhydra,lutris,Sea,otter,,18,1500.5,both,Y,Y,Y,Y,192,4
 Mustelidae,Enhydra,lutris,Sea,otter,,18.4,1406,water,Y,Y,Y,Y,50,
 Mysticeti,Balaenoptera,musculus,Blue,whale,,122000,1059737.4,estimate,-,-,-,-,152,2
 Mysticeti,Balaenoptera,physalus,Fin,whale,,70000,534132.9,estimate,-,-,-,-,152,2
 Mysticeti,Eschrichtius,robustus,Gray,whale,,1817,17366.4,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,1987,20145,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,2456,21534.3,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,2555,37511.4,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,2697,27786.2,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,2882,27786.2,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,3265,50709.9,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,3478,76412.2,water,?,N,Y,Y,254,3
 Mysticeti,Eschrichtius,robustus,Gray,whale,,5509,116702.2,water,?,N,Y,Y,254,3
 Odobenidae,Odobenus,rosmarus,Walrus,whale,,62,2900,air,Y,N,Y,Y,130,3
 Odobenidae,Odobenus,rosmarus,Walrus,whale,,66,2950,air,Y,N,Y,Y,130,3
 Odontoceti,Globicephala,scammoni,Short-finned,whale,,450,43728.6,water,?,N,?,N,203,3
 Odontoceti,Lagenorhynchus,obliquidens,Pacific,white-sided,,80,7700,water,Y,Y,Y,Y,216,
 Odontoceti,Orcinus,orca,Killer,whale,,1880,32374,water,Y,Y,Y,Y,69,
 Odontoceti,Phocoena,phocoena,Harbor,porpoise,,16,1260,water,Y,N,?,?,135,3
 Odontoceti,Phocoena,phocoena,Harbor,porpoise,,19,3126,water,?,N,?,N,134,3
 Odontoceti,Phocoena,phocoena,Harbor,porpoise,,26,2195,water,Y,N,?,?,135,3
 Odontoceti,Phocoena,phocoena,Harbor,porpoise,,26,2639.7,water,?,N,?,N,134,4
 Odontoceti,Phocoena,phocoena,Harbor,porpoise,,31,2512.3,water,?,N,?,N,134,4
 Odontoceti,Phocoena,phocoena,Harbor,porpoise,,33,2360,water,Y,N,?,?,135,3
 Odontoceti,Stenella,coeruleoalba,Striped,dolphin,,150,8100,water,Y,Y,Y,Y,136,1
 Odontoceti,Stenella,longirostris,Spinner,dolphin,,65,3520,estimate,-,-,-,-,12,
 Odontoceti,Stenella,longirostris,Spinner,dolphin,,67.7,2488,water,?,N,?,N,97,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,115,3360,water,Y,N,?,?,135,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,128,6220,water,?,?,Y,Y,216,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,145,6872.3,water,Y,Y,Y,Y,267,2
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,145,9030.5,water,?,Y,?,N,127,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,148.6,6740.7,water,Y,Y,Y,Y,268,
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,150,4320,water,Y,N,?,?,135,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,156,6738.2,water,?,Y,?,?,98,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,160,3500,water,Y,Y,Y,Y,134,7
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,170,6946.6,water,?,Y,?,N,127,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,200,6807.6,water,?,Y,?,N,127,3
 Odontoceti,Tursiops,truncatus,Bottlenose,dolphin,,213,5830,water,Y,Y,?,?,135,3
 Otariidae,Callorhinus,ursinus,Northern,fur,seal,5.5,72.3,water,Y,N,Y,N,14,3
 Otariidae,Callorhinus,ursinus,Northern,fur,seal,5.5,371.7,water,Y,N,N,N,14,3
 Otariidae,Callorhinus,ursinus,Northern,fur,seal,9.4,761.8,air,Y,N,Y,Y,189,3
 Otariidae,Callorhinus,ursinus,Northern,fur,seal,14,1167,air,Y,N,Y,Y,189,3
 Otariidae,Callorhinus,ursinus,Northern,fur,seal,21,1410.2,air,Y,N,Y,Y,189,3
 Otariidae,Callorhinus,ursinus,Northern,fur,seal,32,2500,air,Y,N,Y,?,130,3
 Otariidae,Eumetopias,jubatus,Steller,sea,lion,13,740,air,Y,N,Y,Y,130,3
 Otariidae,Eumetopias,jubatus,Steller,sea,lion,20,1000,air,Y,N,Y,Y,130,3
 Otariidae,Eumetopias,jubatus,Steller,sea,lion,21,900,air,Y,N,Y,Y,130,3
 Otariidae,Eumetopias,jubatus,Steller,sea,lion,111.3,5605.9,air,Y,N,Y,Y,222,
 Otariidae,Eumetopias,jubatus,Steller,sea,lion,140,4201.3,air,Y,N,Y,Y,222,
 Otariidae,Eumetopias,jubatus,Steller,sea,lion,173.7,10072.5,water,Y,Y,Y,Y,74,
 Otariidae,Zalophus,californianus,CA,sea,lion,28.2,2223.5,air,Y,N,Y,?,164,3
 Otariidae,Zalophus,californianus,CA,sea,lion,30,3853.7,water,Y,N,Y,Y,146,3
 Otariidae,Zalophus,californianus,CA,sea,lion,33,1663.2,air,?,N,Y,Y,237,3
 Otariidae,Zalophus,californianus,CA,sea,lion,34.9,1759.4,air,Y,N,Y,Y,237,2
 Otariidae,Zalophus,californianus,CA,sea,lion,37,1864.8,air,?,N,Y,Y,237,3
 Otariidae,Zalophus,californianus,CA,sea,lion,40,4412.8,water,Y,N,Y,Y,146,3
 Otariidae,Zalophus,californianus,CA,sea,lion,46.8,4289.5,water,Y,N,Y,N,210,3
 Otariidae,Zalophus,californianus,CA,sea,lion,54.8,2328.1,air,Y,N,Y,?,164,3
 Otariidae,Zalophus,californianus,CA,sea,lion,61.5,2746,air,Y,Y,Y,N,164,
 Otariidae,Zalophus,californianus,CA,sea,lion,61.6,5807.3,water,Y,Y,Y,Y,150,
 Otariidae,Zalophus,californianus,CA,sea,lion,62,6251.9,water,Y,Y,Y,Y,51,
 Otariidae,Zalophus,californianus,CA,sea,lion,62.2,2778.8,air,Y,N,Y,?,164,3
 Otariidae,Zalophus,californianus,CA,sea,lion,66,4690.2,water,Y,Y,Y,Y,124,
 Otariidae,Zalophus,californianus,CA,sea,lion,69.7,3145.1,air,Y,N,Y,?,164,3
 Otariidae,Zalophus,californianus,CA,sea,lion, 73.0,3591.4,water,Y,Y,Y,Y,150,
 Otariidae,Zalophus,californianus,CA,sea,lion,128,5717.3,water,Y,Y,Y,Y,124,
Phocidae,Halichoerus,grypus ,Grey,seal,,28,2045.7,?,Y,N,Y,Y,273,3
Phocidae,Halichoerus,grypus ,Grey,seal,,29,1389.3,water,Y,N,Y,N,229,
Phocidae,Halichoerus,grypus ,Grey,seal,,31.5,1940.9,water,Y,N,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,33.7,2200.5,water,Y,N,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,33.8,1812.6,water,Y,N,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,34,1898.9,water,Y,N,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,35,1689.8,water,Y,N,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,38,2610,?,Y,N,Y,Y,273,
Phocidae,Halichoerus,grypus ,Grey,seal,,40.5,2200,water,Y,N,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,50,118.1,?,Y,N,Y,Y,76,
Phocidae,Halichoerus,grypus ,Grey,seal,,70,2735.3,?,Y,N,Y,Y,148,
Phocidae,Halichoerus,grypus ,Grey,seal,,82,2193.4,?,Y,N,Y,Y,148,
Phocidae,Halichoerus,grypus ,Grey,seal,,85,3070.8,?,Y,N,Y,Y,148,
Phocidae,Halichoerus,grypus ,Grey,seal,,91.8,3892.5,air,Y,N,Y,Y,15,
Phocidae,Halichoerus,grypus ,Grey,seal,,111,5143,water,Y,Y,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,119,4554.8,water,Y,Y,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,133,4656.4,water,Y,Y,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,147.3,6012,water,Y,Y,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,160,4801.1,air,Y,Y,Y,Y,75,
Phocidae,Halichoerus,grypus ,Grey,seal,,170,7428,water,Y,Y,Y,Y,238,
Phocidae,Halichoerus,grypus ,Grey,seal,,170,2333,?,Y,Y,Y,Y,148,
Phocidae,Halichoerus,grypus ,Grey,seal,,176,2649,?,Y,Y,Y,Y,148,
Phocidae,Halichoerus,grypus ,Grey,seal,,178,2765,?,Y,Y,Y,Y,148,
