Family,Genus,Species,Common,Common,Body Mass (kg),FMR KJ/day),Method,Source1,Source2,,
 Mustelidae,Enhydra,lutris,Sea,otter,27.3,3749.9,measurement,99,,,
 Mysticeti,Balaenoptera,bonaerensis,Minke,whale,7500,228603.5,estimate,78,,,
 Mysticeti,Balaenoptera,borealis,Sei,whale,17780,470898.4,estimate,78,,,
 Mysticeti,Balaenoptera,musculus,Blue,whale,84328,1793256,estimate,78,,,
 Mysticeti,Balaenoptera,physalus,Fin,whale,48000,128030.6,estimate,9,7,,
 Mysticeti,Balaenoptera,physalus,Fin,whale,48768,1120315.4,estimate,78,,,
 Mysticeti,Eubalaena,australis,Southern right,whale,55880,1259291.7,estimate,78,,,
 Mysticeti,Megaptera,novaeangliae,Humpback,whale,26924,672547,estimate,78,,,
 Odobenidae,Odobenus,rosmarus,Walrus,,1310,91049.6,measurement,1,,,
 Odontoceti,Orcinus,orca,Killer,whale,2800,163808.4,estimate,96,,,
 Odontoceti,Orcinus,orca,Killer,whale,3338,228216,estimate,69,,,
 Odontoceti,Orcinus,orca,Killer,whale,4434,184444,estimate,69,,,
 Odontoceti,Orcinus,orca,Killer,whale,4733,243605.9,estimate,96,,,
 Otariidae,Arctocephalus,galapagoensis,Galapagos fur,seal,37.4,1144,measurement,20,7,,
 Otariidae,Arctocephalus,gazella,Antarctic fur,seal,34.6,5520,measurement,16,,,
 Otariidae,Arctocephalus,gazella,Antarctic fur,seal,36.8,4817.7,measurement,3,7,,
 Otariidae,Arctocephalus,gazella,Antarctic fur,seal,39.4,3993.7,measurement,20,7,,
 Otariidae,Arctocephalus,gazella,Antarctic fur,seal,188,11898.6,measurement,8,7,,
 Otariidae,Callorhinus,ursinus,Northern fur,seal,42.7,4117.6,measurement,18,7,,
 Otariidae,Callorhinus,ursinus,Northern fur,seal,43.2,7297.7,measurement,18,7,,
 Otariidae,Callorhinus,ursinus,Northern fur,seal,51.1,8664,measurement,19,,,
 Otariidae,Eumetopias,jubatus,Steller,sea lion (F),247,20780,estimate,97,,,
 Otariidae,Eumetopias,jubatus,Steller,sea lion (M),656,39888,estimate,97,,,
 Otariidae,Neophoca,cinerea,Australian,sea lion ,83.5,9480,measurement,16,,,
 Otariidae,Neophoca,cinerea,Australian,sea lion ,84.5,13348.7,measurement,17,,,
 Otariidae,Zalophus,californianus,CA,sea lion,78,9264,measurement,15,,,
 Otariidae,Zalophus,californianus,CA,sea lion,81.7,9063.3,measurement,15,,,
 Phocidae,Halichoerus,grypus,Grey,seal,168,4216.7,captive,80,7,,
 Phocidae,Leptonychotes,weddellii,Weddell,seal,263,4669,measurement,49,7,,
 Phocidae,Leptonychotes,weddellii,Weddell,seal,350,10688.5,measurement,72,7,,
 Phocidae,Leptonychotes,weddellii,Weddell,seal,355,8863,measurement,51,7,,
 Phocidae,Leptonychotes,weddellii,Weddell,seal,355,8344.2,measurement,12,,,
 Phocidae,Leptonychotes,weddellii,Weddell,seal,355,12270.9,measurement,12,,,
 Phocidae,Leptonychotes,weddellii,Weddell,seal,425,12179.4,measurement,50,7,,
 Phocidae,Mirounga,angustirostris,Northern,elephant,265,9700,estimate,81,,,
 Phocidae,Mirounga,angustirostris,Northern,elephant,376,6641.7,measurement,57,,,
 Phocidae,Mirounga,leonina,Southern,elephant,396,24123.9,estimate,44,,,
 Phocidae,Pagophilus,groenlandicus,Harp,seal,95,2095,captive,42,7,,
 Phocidae,Phoca,vitulina,Harbor,seal,63,4313.8,captive,24,7,,
 Phocidae,Phoca,vitulina,Harbor,seal,87.5,4613.2,measurement,6,7,,
 Phocidae,Phoca,vitulina,Harbor,seal,87.5,4613.2,measurement,6,7,,
 Phocidae,Phoca,vitulina,Harbor,seal,93,12547,measurement,77,7,,
 Phocidae,Phoca,vitulina,Harbor,seal,107.5,7361.8,measurement,14,7,,
 Canidae,Canis,latrans,Coyote,,10.4,1082.8,measurement,56,11,,
 Canidae,Canis,lupus,Timber,wolf,37.3,4248,measurement,64,65,,
