tag,weight,IBI
tt14_126a,256,9.9
tt14_126a,256,33
tt14_126a,256,40.4
tt14_126a,256,47.1
tt14_126a,256,33.8
tt14_126a,256,60.9
tt14_126a,256,47
tt14_126a,256,48.2
tt14_126a,256,50.3
tt14_126a,256,44.6
tt14_126a,256,34.2
tt14_126a,256,40.2
tt14_126a,256,40.4
tt14_126a,256,44.5
tt14_126a,256,31.3
tt14_126a,256,42.8
tt14_126a,256,45.5
tt14_126a,256,50.3
tt14_126a,256,66.9
tt14_126a,256,55.6
tt14_126a,256,48
tt14_126a,256,48.3
tt14_126a,256,102.2
tt14_126a,256,41.7
tt14_126a,256,47
tt14_126a,256,76.1
tt14_126a,256,49.5
tt14_126a,256,86.6
tt14_126a,256,35.8
tt14_126a,256,68.1
tt14_126a,256,51
tt14_126a,256,68.7
tt14_126a,256,58.2
tt14_126a,256,49.2
tt14_126a,256,64.3
tt14_126a,256,51.7
tt14_126a,256,40.8
tt14_126a,256,57.9
tt14_126a,256,54
tt14_126a,256,47.7
tt14_126a,256,25.2
tt14_126a,256,23.9
tt14_126a,256,12.3
tt14_126a,256,16.4
tt14_126a,256,8.4
tt14_126a,256,27
tt14_126a,256,67.2
tt14_126a,256,4.3
tt14_126a,256,8.1
tt14_126a,256,46.2
tt14_126a,256,23.1
tt14_126a,256,32.6
tt14_126a,256,22.1
tt14_126a,256,20.3
tt14_126a,256,28.4
tt14_126a,256,31.3
tt14_126a,256,95.4
tt14_126a,256,43.8
tt14_126a,256,13.8
tt14_126a,256,30.4
tt14_126a,256,61.8
tt14_126a,256,53.9
tt14_126a,256,38.6
tt14_126a,256,28.6
tt14_126a,256,64.9
tt14_126a,256,20
tt14_126a,256,61.4
tt14_126a,256,33
tt14_126a,256,29.2
tt14_126a,256,7.3
tt14_126a,256,74.6
tt14_126a,256,23
tt14_126a,256,20.7
tt14_126a,256,8.5
tt14_126a,256,29.3
tt14_126a,256,29.6
tt14_126a,256,10.2
tt14_126a,256,52.4
tt14_126a,256,36.5
tt14_126a,256,29.8
tt14_126a,256,34.8
tt14_126a,256,14.3
tt14_126a,256,22
tt14_126a,256,25.5
tt14_126a,256,23.5
tt14_126a,256,22.1
tt14_126a,256,13.4
tt14_126a,256,13.1
tt14_126a,256,25.5
tt14_126a,256,28.4
tt14_126a,256,34.1
tt14_126a,256,60.8
tt14_126a,256,23
tt14_126a,256,19.9
tt14_126a,256,4
tt14_126a,256,2.1
tt14_126a,256,2.5
tt14_126a,256,15.5
tt14_126a,256,29
tt14_126a,256,24.8
tt14_126a,256,0
tt14_126a,256,30.7
tt14_126a,256,19.4
tt14_126a,256,11.7
tt14_126a,256,13.2
tt14_126a,256,15.3
tt14_126a,256,15.7
tt14_126a,256,20.9
tt14_126a,256,84.3
tt14_126a,256,10.3
tt14_126a,256,17.2
tt14_126a,256,17.9
tt14_126a,256,37.9
tt14_126a,256,29
tt14_126a,256,17.2
tt14_126a,256,24.7
tt14_126a,256,22.7
tt14_126a,256,9.1
tt14_126a,256,31.3
tt14_126a,256,20.8
tt14_126a,256,24.1
tt14_126a,256,31
tt14_126a,256,20.4
tt14_126a,256,7.7
tt14_126a,256,6.5
tt14_126a,256,21.5
tt14_126a,256,15
tt14_126a,256,11.6
tt14_126a,256,22
tt14_126a,256,15.7
tt14_126a,256,36.9
tt14_126a,256,24.2
tt14_126a,256,26.8
tt14_126a,256,35.2
tt14_126a,256,21.9
tt14_126a,256,63.8
tt14_126a,256,35.5
tt14_126a,256,23.8
tt14_126a,256,40.2
tt14_126a,256,61.6
tt14_126a,256,39.5
tt14_126a,256,30.9
tt14_126a,256,13.1
tt14_126a,256,44.3
tt14_126a,256,40.8
tt14_126a,256,23
tt14_126a,256,40.2
tt14_126a,256,37.2
tt14_126a,256,25.2
tt14_126a,256,25.9
tt14_126a,256,31.7
tt14_126a,256,112
tt14_126a,256,24
tt14_126a,256,20.9
tt14_126a,256,20.8
tt14_126a,256,48.6
tt14_126a,256,8.6
tt14_126a,256,14.5
tt14_126a,256,10.2
tt14_126a,256,20
tt14_126a,256,25.4
tt14_126a,256,29.3
tt14_126a,256,11.2
tt14_126a,256,17.2
tt14_126a,256,67.8
tt14_126a,256,10.9
tt14_126a,256,6.2
tt14_126a,256,8.5
tt14_126a,256,8.9
