Group,Species,Latin_Name,M,f,T,Reference,Marine,Ruminant,Aquatic Bird,Terrestrial Bird
Artiodactyla,Hippopotamus,Hippopotamus_amphibius,1770,2,20,Mortola and Limoges 2006,1,0,0,0
Artiodactyla,Pygmy hippo,Hexaprotodon_liberiensis,217,3,25,Mortola and Limoges 2006,1,0,0,0
Carnivora,Asian small-cl Otter,Amblonyx_cinereus,3,27,24,Mortola and Limoges 2006,1,0,0,0
Carnivora,African clawless otter,Aonyx_capensis,11,16,21,Mortola and Limoges 2006,1,0,0,0
Carnivora,European mink,Mustela_lutreola,0.5,48,,Tumanov and Sorina (1999) in Mortola and Limoges 2006,1,0,0,0
Carnivora,Polar bear,Ursus_maritimus,310,17,16,Mortola and Limoges 2006,1,0,0,0
Carnivora,River otter,Lontra_canadensis,11,17,19,Mortola and Limoges 2006,1,0,0,0
Carnivora,Spotted-necked otter,Lontra_maculicollis,6,22,24,Mortola and Limoges 2006,1,0,0,0
Cetacea,Beluga,Delphinapterus_leucas,1135,1.3,13,Mortola and Limoges 2006,1,0,0,0
Cetacea,Bottlenose dolphin,Tursiops_truncatus,149,2.3,20,Mortola and Limoges 2006,1,0,0,0
Cetacea,Fin whale,Balaenoptera_physalus,51700,0.8,15,Mortola and Limoges 2006,1,0,0,0
Cetacea,Harbor porpoise,Phocoena_phocoena,52,1,,Andersen 1966 in Mortola and Limoges 2006,1,0,0,0
Cetacea,Northern bottlenose whale,Hyperoodon_ampullatus,650,1.1,,Andersen 1966 in Mortola and Limoges 2006,1,0,0,0
Cetacea,Killer whale,Orcinus_orca,2883,0.9,,Mortola and Limoges 2006,1,0,0,0
Cetacea,Pilot whale,Globicephala_macrorhynchus,1034,2.5,13,Butterworth et al. 2004 in Mortola and Limoges 2006,1,0,0,0
Pinnipedia,Grey seal,Halichoerus_grypus,200,3.3,23,Mortola and Limoges 2006,1,0,0,0
Pinnipedia,Harbor seal,Phoca_vitulina,77,6,12,Mortola and Limoges 2006,1,0,0,0
Pinnipedia,Harp seal,Phoca_groenlandica,70,12,17,Mortola and Limoges 2006,1,0,0,0
Pinnipedia,Hooded seal,Cystophora_cristata,72,6.1,,"Påsche 1976a,b in Mortola and Limoges 2006",1,0,0,0
Pinnipedia,Northern elephant seal,Mirounga_angustirostris,206,2.3,,"Andrews et al. 2000, Le Boeuf et al. 2000 in Mortola and Limoges 2006",1,0,0,0
Pinnipedia,Sea lion,Zalophus_californianus,283,3.1,21,Mortola and Limoges 2006,1,0,0,0
Pinnipedia,South-African fur seal,Arctocephalus_pusillus,190,1.3,12,Mortola and Limoges 2006,1,0,0,0
Pinnipedia,Weddell Seal,Leptonychotes_weddellii,425,3.6,,Kooyman et al 1971  in Mortola and Limoges 2006,1,0,0,0
Pinnipedia,Walrus,Odobenus_rosmarus,227,3.4,21,Mortola and Limoges 2006,1,0,0,0
Rodentia,Beaver,Castor_canadensis,22,26,20,Mortola and Limoges 2006,1,0,0,0
Rodentia,Capybara,Hydrochaeris_hydrochaeris,53,33,23,Mortola and Limoges 2006,1,0,0,0
Sirenia,Amazonian Manatee,Trichechus_inunguis,89,0.5,,"Gallivan (1980), Gallivan et al. (1980) in Mortola and Limoges 2006",1,0,0,0
Sirenia,Dugong,Dugong_dugon,360,0.9,,Hodgson cited in Mortola and Limoges 2006,1,0,0,0
Sirenia,Manatee,Trichechus_manatus,275,0.7,,"Andersen (1966), Scholander and Irving (1941) in Mortola and Limoges 2006",1,0,0,0
Artiodactyla,"Cattle, domestic",Bos_taurus,544,28,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Water buffalo,Bubalus_bubalis,810,13,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Giraffe,Giraffa_camelopardalis,1012,7,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Okapi,Okapia_johnstoni,238,10,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,"Bison, American",Bison_bison,576,23,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Blackbuck,Antilope_cervicapra,35,31,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Gnu,Connochaetes_taurinus,177,19,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,"Oryx, Scimitar",Oryx_dammah,200,21,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,"Eland, common",Taurotragus_oryx,580,17,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Addax,Addax_nasomaculatus,92,26,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Pare David's deer,Elaphurus_davidianus,171,25,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Muntjac,Muntiacus_reevesi,14,26,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Yak,Bos_grunniens,295,30,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Alpaca,Lama_pacos,68,15,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Muskox,Ovibos_moschatus,265,53,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,"Goat, domestic",Capra_hircus,22,37,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Bighorn sheep,Ovis_canadensis,98,33,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Mule deer,Odocoileus_hemionus,72,11,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Mountain goat,Oreamnos_americanus,88,58,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Dall's sheep,Ovis_dalli,66,36,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,"Sheep, domestic",Ovis_aries,50,54,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,"Red Deer, Elk",Cervus_elaphus,302,39,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Caribou,Rangifer_tarandus,92,40,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Moose,Alces_alces,425,17,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Pig,Sus_scrofa,308,18,,Mortola and Lanthier 2005,0,0,0,0
Artiodactyla,"Camel, two-humped",Camelus_bactrianus,515,7,,Mortola and Lanthier 2005,0,1,0,0
Artiodactyla,Llama,Lama_glama,140,20,,Mortola and Lanthier 2005,0,1,0,0
Carnivora,Jaguar,Panthera_onca,63,9,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Siberian tiger,Panthera_tigris,125,15,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Lion,Panthera_leo,145,17,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Lesser Panda,Ailurus_fulgens,5.2,32,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Snow Leopard,Panthera_uncia,27,13,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Thibetan Bear,Ursus_thibetanus,85,36,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Dog, domestic",Canis_lupus,39,21,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Puma,Puma_concolor,77,38,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Brown bear grizzly,Ursus_arctos,274,15,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Genett,Genetta_genetta,2.3,28,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Coatimundis,Nasua_nasua,4.9,28,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Civet, african",Civettictis_civetta,2,36,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Ferret, domestic",Mustela_putorius,1.2,37,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Kinkajou,Potos_flavus,3.1,21,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,Arctic Fox,Alopex_lagopus,3.8,63,,Mortola and Lanthier 2005,0,0,0,0
Carnivora,"Cat, domestic",Felis_catus,5,18,,Mortola and Lanthier 2005,0,0,0,0
Chiroptera,"Ryukyu, Flying fox",Pteropus_dasymallus,0.4,56,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,"Horse, domesticus",Equus_caballus,620,12,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,"Zebra, Burchell's",Equus_burchellii,278,15,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,Donkey,Equus_asinus,205,23,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,Onager,Equus_hemionus,235,23,,Mortola and Lanthier 2005,0,0,0,0
Perissodactyla,Rhinoceros,Ceratotherium_simum,2091,11,,Mortola and Lanthier 2005,0,0,0,0
Primates,Mandrill,Mandrillus_sphinx,26,17,,Mortola and Lanthier 2005,0,0,0,0
Primates,Gorilla,Gorilla_gorilla,217,17,,Mortola and Lanthier 2005,0,0,0,0
Primates,Colobus,Colobus_guereza,12,15,,Mortola and Lanthier 2005,0,0,0,0
Proboscidea,"Elephant, African",Loxodonta_africana,2611,5,,Mortola and Lanthier 2005,0,0,0,0
Proboscidea,"Elephant, Asian",Elephas_maximus,4550,7,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Rat,Rattus_norvegicus,0.3,119,,Mortola and Lanthier 2005,0,0,0,0
Rodentia,Guinea pig,Cavia_porcellus,0.7,95,,Mortola and Lanthier 2005,0,0,0,0
