Mesquite_Name,logM,logS,logM2,Reference,Species
Zapus_hudsonius,-1.752026734,-3.259637311,3.069597677,Barclay 1994,Zapus hudsonius
Mus_musculus,-1.698970004,-2.972242795,2.886499074,Prange et al Mammals,Mus musculus
Rattus_rattus,-0.318758763,-1.619788758,0.101607149,Reynolds and kartlowski,Rattus rattus
Peromyscus_eremicus,-1.774690718,-3.096910013,3.149527145,Reynolds and kartlowski,Peromyscus eremicus
Microtus_richardsoni,-0.906578315,-2.361510743,0.821884241,Barclay 1994,Microtus richardsoni
Microtus_pennsylvanicus,-1.397940009,-2.832682665,1.954236269,Barclay 1994,Microtus pennsylvanicus
Microtus_ochrogaster,-1.522878745,-2.698970004,2.319159672,Prange et al Mammals,Microtus ochrogaster
Castor_canadensis,1.356025857,0.059184618,1.838806125,Prange et al Mammals,Castor sp.
Thomomys_bottae,-0.93930216,-2.119186408,0.882288548,Prange et al Mammals,Thomomys sp.
Cavia_porcellus,-0.647817482,-1.84924356,0.41966749,Prange et al Mammals,Cavia porcellus
Myocastor_coypus,0.528659645,-0.559878397,0.27948102,Prange et al Mammals,Myocastor coypus
Erethizon_dorsatum,0.84509804,-0.53165267,0.714190697,Prange et al Mammals,Erethizon sp.
Spermophilus_tridecemlineatus,-1.142667504,-2.610833916,1.305689025,Barclay 1994,Spermophilus tridecemlineatus
Spermophilus_citellus,-0.943095149,-2.283996656,0.88942846,Prange et al Mammals,Citellus sp.
Ammospermophilus_harrisii,-0.910094889,-2.318758763,0.828272707,Reynolds and kartlowski,Ammospermophilus harrisi
Tamias_alpinus,-1.311580178,-2.657577319,1.720242563,Prange et al Mammals,Eutamias sp.
Sciurus_carolinensis,-0.501000636,-1.756961951,0.251001637,Prange et al Mammals,Sciurus carolinensis
Glaucomys_volans,-1.522878745,-2.602059991,2.319159672,Prange et al Mammals,Glaucomys volans
Sylvilagus_palustris,-0.09420412,-1.48148606,0.008874416,Prange et al Mammals,Sylvilagus palustris
Oryctolagus_cuniculus,0.305566314,-0.742321425,0.093370772,Prange et al Mammals,Oryctolagus cunniculus
Cercopithecus_cephus,0.5289167,-0.595166283,0.279752876,Potter,Cercopithecus cephus
Chlorocebus_aethiops,0.681241237,-0.355561411,0.464089623,,
Miopithecus_talapoin,0.139879086,-1.055517328,0.019566159,Potter,Miopithecus talapoin
Cercocebus_torquatus,0.959518377,-0.182104243,0.920675516,Potter,Cercocebus torquatus
Papio_hamadryas,1.245759356,0.233123079,1.551916373,Potter,Papio spp.
Macaca_mulatta,0.712649702,-0.209714836,0.507869598,Potter,Macaca mulatta
Macaca_fuscata,0.960946196,-0.440093375,0.923417592,Potter,Macaca fuscata
Macaca_sylvanus,1.082964794,-0.13637978,1.172812745,Potter,Macaca sylvanus
Colobus_angolensis,0.953276337,-0.224025669,0.908735775,Potter,Colobus spp.
Gorilla_gorilla,2.05541656,0.855216195,4.224737235,Potter,Gorilla gorilla
Homo_sapiens,1.793441133,0.910997716,3.216431098,Reynolds and kartlowski,Homo sapiens
Pan_troglodytes,1.563243701,0.484655673,2.443730869,Potter,Pan troglodytes
Pongo_pygmaeus,1.850339855,0.623042434,3.423757579,Potter,Pongo pygmaeus
Hylobates_muelleri,0.744292983,-0.324221658,0.553972045,Potter,Hylobates muelleri
Alouatta_seniculus,0.788168371,-0.57024772,0.621209381,Potter,Alouatta seniculus
Ateles_belzebuth,0.898725182,-0.259637311,0.807706953,Potter,Ateles spp.
Lagothrix_lagotricha,0.785685668,-0.323763783,0.617301969,Potter,Lagothrix lagotricha
Callithrix_jacchus,-0.537602002,-1.657577319,0.289015913,Potter,Callithrix jacchus
Saguinus_bicolor,-0.301029996,-1.638272164,0.090619058,Potter,Saguinus spp.
Cebus_apella,0.467608106,-0.7044329,0.218657341,Potter,Cebus apella
Eulemur_fulvus,0.178976947,-0.906578315,0.032032748,Potter,Lemur fulvus
Arctocebus_calabarensis,-0.698970004,-1.795880017,0.488559066,Potter,Arctocebus calabarensis
Perodicticus_potto,0.025305865,-1.124938737,0.000640387,Potter,Perodicticus potto
Loris_tardigradus,-0.568636236,-1.721246399,0.323347169,Potter,Loris tardigradus
Galago_senegalensis,-0.677780705,-1.853871964,0.459386684,Potter,Galago senegalensis
Odocoileus_virginianus,0.627877695,-0.546172224,0.3942304,Prange et al Mammals,Odocoileus virginianus
Mustela_africana,-0.455931956,-1.761953897,0.207873949,Prange et al Mammals,Mustela sp.
Spilogale_putorius,-0.826813732,-2,0.683620947,Prange et al Mammals,Spilogale sp.
Procyon_lotor,0.479143248,-0.825649403,0.229578252,Prange et al Mammals,Procyon lotor
Potos_flavus,0.352182518,-0.89279003,0.124032526,Prange et al Mammals,Potos sp.
Phoca_hispida,1.867467488,0.579783597,3.487434819,Lydersen et al (1992),Phoca hispida
Canis_adustus,1.077367905,-0.126098402,1.160721603,Prange et al Mammals,Canis sp.
Urocyon_cinereoargenteus,0.542825427,-0.650722473,0.294659444,Prange et al Mammals,Urocyon cinereoargentatus
Panthera_leo,1.184719815,0.290257269,1.40356104,Reynolds and kartlowski,Felis leo
Panthera_pardus,0.740993932,-0.172630727,0.549072007,Reynolds and kartlowski,Felis pardus
Lynx_rufus,0.720159303,-0.530177984,0.518629422,Prange et al Mammals,Lynx rufus
Hipposideros_armiger,-1.455931956,-2.372634143,2.119737861,Barclay 1994,Hipposideros armiger
Noctilio_leporinus,-1.438898616,-2.253365801,2.070429227,Barclay 1994,Noctilio leporinus
Desmodus_rotundus,-1.46470588,-2.605548319,2.145363315,Barclay 1994,Desmodus rotundus
Brachyphylla_cavernarum,-1.311580178,-2.498940738,1.720242563,Barclay 1994,Brachyphylla cavernarum
Leptonycteris_nivalis,-1.628932138,-2.958607315,2.65341991,Reynolds and kartlowski,Leptonycteris nivalis
Artibeus_jamaicensis,-1.416801226,-2.563837353,2.007325714,Barclay 1994,Artibeus jamaicensis
Artibeus_lituratus,-1.171984936,-2.243363892,1.37354869,Barclay 1994,Artibeus lituratus
Cheiromeles_torquatus,-0.913640169,-1.946153573,0.834738358,Barclay 1994,Cheiromeles torquatus
Otomops_martiensseni,-1.408935393,-2.578396073,1.985098942,Barclay 1994,Otomops martiensseni
Lasionycteris_noctivagans,-2.102372909,-3.187086643,4.419971848,Barclay 1994,Lasionycteris noctivagans
Lasiurus_cinereus,-1.588380294,-2.744727495,2.522951958,Barclay 1994,Lasiurus cinereus
Eptesicus_fuscus,-1.716698771,-2.89279003,2.94705467,Barclay 1994,Eptesicus fuscus
Myotis_lucifugus,-2.096910013,-3.283996656,4.397031603,Barclay 1994,Myotis lucifugus
Sorex_arcticus,-2.15490196,-3.568636236,4.643602457,Barclay 1994,Sorex arcticus
Elephas_maximus,3.819543936,3.2509077,14.58891588,Prange et al Mammals,Elephas maximas
Loxodonta_africana,3.954242509,3.255272505,15.63603382,Reynolds and kartlowski,Loxodonta africana
Didelphis_marsupialis,0.500830866,-0.70333481,0.250831556,Prange et al Mammals,Didelphis marsupialis
